trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
2,Incorrect,"[2.5, 2.5, 15.0, 2.5, 12.5, 20.0, 2.5, 15.0, 10.0, 22.5, 7.5, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]",0
9,Correct,"[2.5, 5.0, 12.5, 5.0, 0.0, 0.0, 7.5, 12.5, 25.0, 7.5, 5.0, 10.0]","[0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 0.0, 7.5, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 5.0, 2.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]",1
10,Correct,"[22.5, 5.0, 12.5, 10.0, 10.0, 2.5, 15.0, 0.0, 5.0, 10.0, 20.0, 12.5]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 5.0, 0.0]","[2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5]","[0.0, 0.0, 2.5, 0.0, 5.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0]","[2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
11,Incorrect,"[12.5, 15.0, 12.5, 5.0, 20.0, 5.0, 2.5, 2.5, 10.0, 5.0, 7.5, 5.0]","[2.5, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 2.5, 5.0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 12.5]","[2.5, 5.0, 0.0, 0.0, 7.5, 5.0, 2.5, 2.5, 2.5, 5.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
13,Correct,"[10.0, 7.5, 20.0, 7.5, 12.5, 15.0, 15.0, 10.0, 22.5, 5.0, 10.0, 2.5]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 2.5, 0.0]","[5.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 2.5, 5.0, 0.0, 2.5, 0.0, 2.5, 0.0, 2.5, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
17,Correct,"[7.5, 0.0, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 10.0, 15.0, 7.5, 7.5]","[2.5, 5.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 7.5, 5.0, 2.5, 2.5]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
26,Correct,"[7.5, 5.0, 20.0, 20.0, 15.0, 10.0, 20.0, 15.0, 15.0, 12.5, 7.5, 0.0]","[2.5, 5.0, 5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 5.0, 2.5, 0.0]","[2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 0.0, 0.0, 0.0, 5.0, 5.0, 7.5, 0.0, 0.0, 2.5, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
32,Correct,"[5.0, 15.0, 5.0, 0.0, 7.5, 10.0, 2.5, 7.5, 10.0, 12.5, 22.5, 12.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.5, 0.0, 0.0, 0.0]","[7.5, 5.0, 2.5, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
33,Correct,"[2.5, 12.5, 10.0, 2.5, 7.5, 2.5, 12.5, 7.5, 22.5, 20.0, 10.0, 2.5]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 2.5, 5.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 5.0, 0.0, 2.5, 0.0]","[5.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 5.0, 5.0, 0.0, 2.5, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]",1
34,Correct,"[5.0, 12.5, 15.0, 5.0, 7.5, 2.5, 10.0, 12.5, 12.5, 12.5, 12.5, 0.0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]","[2.5, 5.0, 2.5, 10.0, 0.0, 2.5, 2.5, 0.0, 2.5, 10.0, 0.0, 0.0]","[2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
