trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
5,Incorrect,[12.49999999999999],[0.0],[0.0],[2.499999999999998],[0.0],0
33,Correct,[7.500000000000027],[2.500000000000009],[0.0],[3.7500000000000133],[0.0],1
37,Correct,[11.25000000000004],[0.0],[1.2500000000000044],[1.2500000000000044],[0.0],1
41,Incorrect,[7.500000000000027],[5.000000000000018],[0.0],[1.2500000000000044],[0.0],0
49,Correct,[13.75000000000005],[0.0],[1.2500000000000044],[2.500000000000009],[0.0],1
65,Correct,[8.750000000000032],[0.0],[0.0],[3.7500000000000133],[0.0],1
101,Correct,[22.50000000000048],[0.0],[0.0],[1.2500000000000266],[0.0],1
125,Correct,[2.5000000000000533],[0.0],[0.0],[2.5000000000000533],[0.0],1
129,Correct,[6.250000000000133],[0.0],[0.0],[1.2500000000000266],[0.0],1
133,Correct,[7.50000000000016],[0.0],[0.0],[5.000000000000107],[0.0],1
141,Correct,[3.7499999999999467],[0.0],[0.0],[3.7499999999999467],[0.0],1
157,Incorrect,[7.499999999999893],[1.2499999999999822],[0.0],[6.249999999999911],[1.2499999999999822],0
193,Correct,[9.999999999999858],[0.0],[1.2499999999999822],[0.0],[0.0],1
221,Correct,[6.249999999999911],[0.0],[0.0],[1.2499999999999822],[0.0],1
225,Correct,[4.999999999999929],[0.0],[0.0],[4.999999999999929],[2.4999999999999645],1
229,Incorrect,[8.749999999999876],[1.2499999999999822],[0.0],[0.0],[1.2499999999999822],0
237,Correct,[6.249999999999911],[0.0],[1.2499999999999822],[3.7499999999999467],[0.0],1
253,Correct,[8.749999999999876],[0.0],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],1
289,Correct,[4.999999999999929],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],1
317,Correct,[8.749999999999254],[0.0],[1.2499999999998934],[1.2499999999998934],[3.7499999999996803],1
321,Correct,[13.749999999998828],[1.2499999999998934],[2.499999999999787],[3.7499999999996803],[0.0],1
325,Incorrect,[7.4999999999993605],[0.0],[0.0],[1.2499999999998934],[0.0],0
333,Incorrect,[3.7499999999996803],[2.499999999999787],[2.499999999999787],[3.7499999999996803],[1.2499999999998934],0
349,Correct,[13.749999999998828],[2.499999999999787],[2.499999999999787],[1.2499999999998934],[0.0],1
385,Correct,[4.999999999999574],[3.7499999999996803],[0.0],[3.7499999999996803],[0.0],1
413,Incorrect,[12.499999999998934],[1.2499999999998934],[1.2499999999998934],[1.2499999999998934],[0.0],0
417,Correct,[18.7499999999984],[1.2499999999998934],[0.0],[4.999999999999574],[0.0],1
421,Correct,[12.499999999998934],[2.499999999999787],[1.2499999999998934],[0.0],[0.0],1
429,Incorrect,[16.249999999998614],[0.0],[0.0],[2.499999999999787],[0.0],0
441,Correct,[7.4999999999993605],[1.2499999999998934],[2.499999999999787],[1.2499999999998934],[1.2499999999998934],1
477,Incorrect,[6.250000000000355],[0.0],[0.0],[2.500000000000142],[2.500000000000142],0
505,Correct,[8.750000000000497],[1.250000000000071],[0.0],[0.0],[3.750000000000213],1
509,Correct,[5.000000000000284],[1.250000000000071],[0.0],[3.750000000000213],[0.0],1
513,Correct,[8.750000000000497],[0.0],[0.0],[3.750000000000213],[0.0],1
521,Correct,[6.250000000000355],[2.500000000000142],[1.250000000000071],[2.500000000000142],[1.250000000000071],1
537,Correct,[6.250000000000355],[0.0],[0.0],[1.250000000000071],[0.0],1
573,Correct,[8.750000000000497],[1.250000000000071],[0.0],[7.500000000000426],[1.250000000000071],1
601,Correct,[8.750000000000497],[2.500000000000142],[0.0],[1.250000000000071],[0.0],1
605,Incorrect,[6.250000000000355],[0.0],[0.0],[0.0],[0.0],0
609,Correct,[5.000000000000284],[5.000000000000284],[3.750000000000213],[2.500000000000142],[2.500000000000142],1
617,Correct,[13.750000000000782],[1.250000000000071],[3.750000000000213],[1.250000000000071],[1.250000000000071],1
633,Correct,[5.000000000000284],[1.250000000000071],[1.250000000000071],[1.250000000000071],[0.0],1
669,Correct,[16.250000000000924],[0.0],[3.750000000000213],[2.500000000000142],[0.0],1
697,Correct,[13.750000000000782],[3.750000000000213],[1.250000000000071],[1.250000000000071],[1.250000000000071],1
701,Correct,[6.250000000000355],[5.000000000000284],[0.0],[2.500000000000142],[0.0],1
709,Incorrect,[22.50000000000128],[3.750000000000213],[0.0],[8.750000000000497],[1.250000000000071],0
725,Correct,[11.25000000000064],[1.250000000000071],[0.0],[7.500000000000426],[0.0],1
