trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
11,Correct,[2.1393887861322005],[0.47541973025160006],[0.0],[0.7131295953774002],[0.23770986512580003],1
27,Correct,[3.0071730329676325],[0.23132100253597174],[0.23132100253597174],[0.925284010143887],[0.23132100253597174],1
47,Correct,[4.85778087461309],[2.125279132643227],[0.0],[1.2144452186532726],[0.0],1
63,Incorrect,[6.827119735338803],[1.0503261131290467],[1.0503261131290467],[0.5251630565645233],[0.26258152828226167],0
87,Incorrect,[6.343878067038458],[1.8125365905824165],[1.5104471588186803],[0.6041788635274721],[0.0],0
95,Correct,[3.6516798248862865],[0.6955580618831022],[0.17388951547077555],[0.3477790309415511],[0.17388951547077555],1
107,Correct,[4.278809102833556],[0.47542323364817285],[0.23771161682408642],[0.7131348504722593],[0.0],1
119,Incorrect,[2.5445121927241177],[1.6192350317335296],[0.23131929024764708],[0.9252771609905883],[0.23131929024764708],0
139,Correct,[4.857780874613112],[1.214445218653278],[0.0],[0.9108339139899584],[0.3036113046633195],1
155,Correct,[8.927696945651029],[0.2625793219309126],[0.0],[1.3128966096545631],[0.2625793219309126],1
179,Correct,[6.645903253773785],[0.9062595346055161],[0.0],[2.7187786038165482],[0.0],1
187,Correct,[2.0060443453488452],[0.13373628968992302],[0.13373628968992302],[0.5349451587596921],[0.26747257937984603],1
199,Incorrect,[4.5164863637768695],[0.47541961723967047],[0.23770980861983523],[1.1885490430991763],[0.0],0
215,Incorrect,[4.412034823494237],[0.0],[0.0],[1.3932741547876535],[0.46442471826255116],0
235,Correct,[8.804727835236264],[2.428890437306556],[0.0],[1.8216678279799168],[0.9108339139899584],1
251,Correct,[5.251630565645272],[1.0503261131290544],[0.7877445848467909],[2.3632337545403725],[0.2625815282822636],1
275,Correct,[3.0208934050574165],[1.2083573620229666],[0.6041786810114833],[1.5104467025287083],[0.0],1
283,Correct,[3.2566547460076434],[0.39079856952091724],[0.2605323796806115],[0.9118633288821402],[0.0],1
295,Incorrect,[4.75419617239664],[0.4754196172396641],[1.4262588517189922],[0.9508392344793282],[0.23770980861983204],0
311,Incorrect,[4.16374818761303],[0.9252773750251178],[0.0],[1.1565967187813972],[0.0],0
331,Incorrect,[6.375837397929709],[1.8216678279799168],[1.214445218653278],[1.8216678279799168],[0.0],0
347,Correct,[4.201304452516281],[0.5251630565645351],[2.888396811104943],[1.0503261131290702],[0.0],1
371,Incorrect,[6.343814825857836],[1.2083456811157782],[0.6041728405578891],[0.9062592608368337],[0.6041728405578891],0
379,Correct,[1.4379989238375617],[0.0],[0.0],[0.1797498654796952],[0.0449374663699238],1
391,Incorrect,[6.418164832735465],[1.18854904309916],[0.23770980861983204],[1.9016784689586563],[0.0],0
407,Correct,[4.163748187612921],[0.4626386875125467],[0.23131934375627336],[1.1565967187813668],[0.0],1
427,Correct,[6.343876150620684],[3.0208934050574685],[0.3020893405057469],[0.9062680215172406],[0.0],1
439,Correct,[4.201270254061356],[1.050317563515339],[0.7877381726365043],[1.3128969543941738],[0.26257939087883475],1
463,Incorrect,[3.625037043347335],[1.2083456811157782],[0.0],[0.9062592608368337],[0.0],0
471,Correct,[0.0650764059234855],[0.004067275370217844],[0.004067275370217844],[0.008134550740435688],[0.004067275370217844],1
483,Correct,[4.5164863637766866],[0.9508392344793024],[0.4754196172396512],[0.7131294258594768],[0.0],1
499,Incorrect,[4.395099048183253],[0.2313210025359607],[0.6939630076078821],[0.6939630076078821],[0.0],0
519,Correct,[5.16134203393914],[0.0],[0.0],[1.2144334197503859],[0.6072167098751929],1
535,Correct,[3.938722924233778],[0.5251630565645037],[0.0],[0.7877445848467556],[0.0],1
559,Incorrect,[4.229211161492336],[1.5104325576758342],[0.6041730230703337],[1.2083460461406674],[0.0],0
567,Correct,[5.268397408387346],[1.0975827934140305],[0.2195165586828061],[0.4390331173656122],[0.2195165586828061],1
579,Incorrect,[4.278776555156861],[0.7131294258594768],[0.2377098086198256],[1.6639686603387793],[0.9508392344793024],0
595,Incorrect,[4.626420050719214],[1.6192470177517249],[0.4626420050719214],[0.9252840101438428],[0.0],0
615,Correct,[6.679383808627122],[1.5180417746879824],[1.2144334197503859],[0.9108250648127894],[0.9108250648127894],1
631,Correct,[4.726467509080534],[0.26258152828225184],[0.0],[2.363233754540267],[0.26258152828225184],1
655,Correct,[4.531340107586047],[1.8125360430344188],[2.416714724045892],[0.604178681011473],[0.0],1
663,Correct,[3.3139761775484717],[0.5302361884077554],[0.5302361884077554],[1.1930314239174498],[0.0],1
675,Incorrect,[5.229655570129654],[0.7131348504722256],[0.0],[0.9508464672963007],[0.7131348504722256],0
691,Incorrect,[3.701108643962256],[1.156596451238205],[1.3879157414858458],[0.925277160990564],[0.231319290247641],0
707,Correct,[7.8938939212460335],[0.910833913989927],[1.214445218653236],[2.428890437306472],[0.303611304663309],1
723,Correct,[5.514212093927289],[0.5251630565645037],[0.0],[0.7877445848467556],[0.0],1
747,Incorrect,[6.041730230703337],[0.30208651153516686],[0.30208651153516686],[0.6041730230703337],[0.30208651153516686],0
755,Correct,[6.5],[1.5],[0.5],[1.0],[0.5],1
