trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
10,Correct,"[5.0, 5.0, 5.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[10.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]",1
26,Correct,"[0.0, 5.0, 10.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]",1
46,Correct,"[15.0, 20.0, 5.0, 5.0, 20.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 10.0, 0.0, 5.0, 5.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",1
62,Incorrect,"[5.0, 30.0, 30.0, 10.0, 15.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 10.0, 0.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 0.0]",0
86,Incorrect,"[10.0, 5.0, 20.0, 20.0, 10.0]","[0.0, 10.0, 10.0, 5.0, 5.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 5.0]",0
94,Correct,"[0.0, 5.0, 10.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",1
106,Correct,"[10.0, 10.0, 15.0, 10.0, 5.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 15.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",1
118,Incorrect,"[20.0, 20.0, 10.0, 0.0, 10.0]","[0.0, 5.0, 5.0, 0.0, 10.0]","[0.0, 0.0, 0.0, 10.0, 5.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
138,Correct,"[15.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
154,Correct,"[5.0, 10.0, 5.0, 5.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
