trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
5,Incorrect,[0.0],[7.499999999999994],[2.499999999999998],[1.249999999999999],[6.249999999999995],[2.499999999999998],[2.499999999999998],[0.0],[2.499999999999998],[1.249999999999999],[0.0],[0.0],[2.499999999999998],[0.0],[1.249999999999999],[0.0],[3.749999999999997],[0.0],[1.249999999999999],[0.0],[0.0],0
33,Correct,[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[0.0],[0.0],[3.7500000000000133],[2.500000000000009],[0.0],[0.0],[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[10.000000000000036],[1.2500000000000044],[1.2500000000000044],[0.0],[0.0],1
37,Correct,[1.2500000000000044],[0.0],[3.7500000000000133],[0.0],[5.000000000000018],[0.0],[0.0],[0.0],[1.2500000000000044],[0.0],[5.000000000000018],[2.500000000000009],[0.0],[1.2500000000000044],[0.0],[1.2500000000000044],[2.500000000000009],[0.0],[1.2500000000000044],[1.2500000000000044],[0.0],1
41,Incorrect,[1.2500000000000044],[7.500000000000027],[1.2500000000000044],[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[3.7500000000000133],[0.0],[0.0],[0.0],[1.2500000000000044],0
49,Correct,[0.0],[5.000000000000018],[1.2500000000000044],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2500000000000044],[0.0],[0.0],[0.0],[1.2500000000000044],[0.0],[1.2500000000000044],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2500000000000044],1
65,Correct,[0.0],[3.7500000000000133],[0.0],[0.0],[17.500000000000064],[2.500000000000009],[0.0],[1.2500000000000044],[1.2500000000000044],[0.0],[0.0],[3.7500000000000133],[2.500000000000009],[0.0],[1.2500000000000044],[1.2500000000000044],[13.75000000000005],[1.2500000000000044],[1.2500000000000044],[0.0],[0.0],1
101,Correct,[0.0],[6.250000000000133],[1.2500000000000266],[0.0],[1.2500000000000266],[0.0],[0.0],[0.0],[3.75000000000008],[1.2500000000000266],[0.0],[0.0],[3.75000000000008],[0.0],[0.0],[0.0],[10.000000000000213],[1.2500000000000266],[0.0],[0.0],[0.0],1
125,Correct,[1.2500000000000266],[3.75000000000008],[1.2500000000000266],[0.0],[3.75000000000008],[1.2500000000000266],[0.0],[0.0],[6.250000000000133],[1.2500000000000266],[2.5000000000000533],[0.0],[2.5000000000000533],[1.2500000000000266],[0.0],[1.2500000000000266],[6.250000000000133],[0.0],[2.5000000000000533],[0.0],[0.0],1
129,Correct,[0.0],[2.5000000000000533],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2500000000000266],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
133,Correct,[0.0],[2.5000000000000533],[3.75000000000008],[0.0],[1.2500000000000266],[0.0],[1.2500000000000266],[0.0],[0.0],[0.0],[0.0],[0.0],[2.5000000000000533],[0.0],[0.0],[0.0],[2.5000000000000533],[0.0],[0.0],[0.0],[0.0],1
141,Correct,[0.0],[1.2499999999999822],[3.7499999999999467],[2.4999999999999645],[0.0],[0.0],[1.2499999999999822],[0.0],[2.4999999999999645],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[4.999999999999929],[0.0],[0.0],[7.499999999999893],[1.2499999999999822],1
157,Incorrect,[0.0],[3.7499999999999467],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[0.0],[6.249999999999911],[0.0],[1.2499999999999822],[1.2499999999999822],[0.0],0
193,Correct,[0.0],[3.7499999999999467],[1.2499999999999822],[0.0],[2.4999999999999645],[1.2499999999999822],[0.0],[1.2499999999999822],[6.249999999999911],[0.0],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[11.24999999999984],[0.0],[0.0],[0.0],[2.4999999999999645],1
221,Correct,[6.249999999999911],[1.2499999999999822],[0.0],[0.0],[4.999999999999929],[2.4999999999999645],[4.999999999999929],[0.0],[6.249999999999911],[0.0],[2.4999999999999645],[1.2499999999999822],[0.0],[1.2499999999999822],[2.4999999999999645],[2.4999999999999645],[11.24999999999984],[0.0],[1.2499999999999822],[1.2499999999999822],[3.7499999999999467],1
225,Correct,[0.0],[3.7499999999999467],[2.4999999999999645],[0.0],[2.4999999999999645],[1.2499999999999822],[2.4999999999999645],[0.0],[3.7499999999999467],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[2.4999999999999645],[0.0],[0.0],[3.7499999999999467],[0.0],1
229,Incorrect,[0.0],[3.7499999999999467],[4.999999999999929],[0.0],[7.499999999999893],[1.2499999999999822],[0.0],[0.0],[3.7499999999999467],[1.2499999999999822],[0.0],[0.0],[2.4999999999999645],[0.0],[2.4999999999999645],[0.0],[2.4999999999999645],[4.999999999999929],[1.2499999999999822],[0.0],[0.0],0
237,Correct,[0.0],[2.4999999999999645],[1.2499999999999822],[0.0],[6.249999999999911],[0.0],[1.2499999999999822],[0.0],[9.999999999999858],[0.0],[0.0],[1.2499999999999822],[1.2499999999999822],[0.0],[3.7499999999999467],[0.0],[6.249999999999911],[1.2499999999999822],[0.0],[0.0],[1.2499999999999822],1
253,Correct,[1.2499999999999822],[4.999999999999929],[3.7499999999999467],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[1.2499999999999822],[1.2499999999999822],[0.0],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[0.0],[0.0],[2.4999999999999645],[0.0],[0.0],1
289,Correct,[0.0],[2.4999999999999645],[0.0],[2.4999999999999645],[13.749999999999805],[2.4999999999999645],[3.7499999999999467],[1.2499999999999822],[0.0],[0.0],[0.0],[2.4999999999999645],[3.7499999999999467],[0.0],[0.0],[0.0],[7.499999999999893],[1.2499999999999822],[1.2499999999999822],[4.999999999999929],[0.0],1
317,Correct,[2.499999999999787],[1.2499999999998934],[4.999999999999574],[0.0],[1.2499999999998934],[1.2499999999998934],[0.0],[0.0],[4.999999999999574],[1.2499999999998934],[1.2499999999998934],[0.0],[3.7499999999996803],[1.2499999999998934],[0.0],[2.499999999999787],[3.7499999999996803],[0.0],[1.2499999999998934],[1.2499999999998934],[1.2499999999998934],1
321,Correct,[3.7499999999996803],[2.499999999999787],[1.2499999999998934],[0.0],[3.7499999999996803],[0.0],[1.2499999999998934],[0.0],[2.499999999999787],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[2.499999999999787],[3.7499999999996803],[0.0],[0.0],[0.0],[1.2499999999998934],1
325,Incorrect,[0.0],[2.499999999999787],[1.2499999999998934],[0.0],[6.249999999999467],[0.0],[1.2499999999998934],[1.2499999999998934],[4.999999999999574],[0.0],[0.0],[0.0],[3.7499999999996803],[0.0],[1.2499999999998934],[0.0],[4.999999999999574],[1.2499999999998934],[2.499999999999787],[0.0],[2.499999999999787],0
333,Incorrect,[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[2.499999999999787],0
