trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
7,Incorrect,[0.0],[1.6177966257076513],[0.2696327709512752],[0.0],[1.0785310838051008],[0.2696327709512752],[0.2696327709512752],[0.8088983128538256],[1.6177966257076513],[0.0],[0.2696327709512752],[0.8088983128538256],[1.0785310838051008],[0.0],[0.0],[0.0],[1.8874293966589264],[0.0],[0.5392655419025504],[0.5392655419025504],[0.0],0
35,Correct,[2.1915680982824415],[1.8784869413849499],[1.8784869413849499],[0.0],[3.1308115689749165],[0.3130811568974916],[2.1915680982824415],[0.9392434706924749],[2.8177304120774247],[0.6261623137949832],[0.9392434706924749],[0.0],[1.2523246275899664],[0.6261623137949832],[0.6261623137949832],[1.8784869413849499],[1.8784869413849499],[0.0],[0.9392434706924749],[0.3130811568974916],[0.3130811568974916],1
39,Correct,[0.47541973025159684],[0.7131295953773953],[0.47541973025159684],[0.0],[1.188549325628992],[0.0],[0.23770986512579842],[0.23770986512579842],[0.47541973025159684],[0.0],[0.47541973025159684],[0.23770986512579842],[0.0],[0.0],[0.0],[0.9508394605031937],[1.188549325628992],[0.0],[0.23770986512579842],[0.0],[0.0],1
43,Incorrect,[0.0],[0.6939578707429435],[0.6939578707429435],[0.0],[0.46263858049529566],[0.46263858049529566],[0.0],[0.0],[0.23131929024764783],[0.23131929024764783],[0.0],[0.23131929024764783],[1.387915741485887],[0.0],[0.0],[0.0],[1.1565964512382392],[0.0],[0.23131929024764783],[0.0],[0.6939578707429435],0
51,Correct,[0.0],[2.394534076880497],[0.5321186837512215],[0.0],[0.7981780256268322],[0.5321186837512215],[0.26605934187561076],[0.0],[1.064237367502443],[0.0],[0.0],[0.0],[0.26605934187561076],[0.0],[0.5321186837512215],[0.0],[2.394534076880497],[0.0],[0.26605934187561076],[0.5321186837512215],[1.064237367502443],1
67,Correct,[0.0],[1.6639686603388297],[0.7131294258594985],[0.23770980861983285],[1.6639686603388297],[0.23770980861983285],[0.23770980861983285],[0.0],[0.4754196172396657],[0.4754196172396657],[0.0],[0.0],[0.0],[0.0],[0.4754196172396657],[0.0],[0.4754196172396657],[0.23770980861983285],[0.0],[0.0],[0.0],1
103,Correct,[0.0],[1.8874293966589193],[0.8088983128538225],[0.5392655419025484],[1.8874293966589193],[0.5392655419025484],[0.5392655419025484],[0.5392655419025484],[2.4266949385614676],[0.5392655419025484],[0.0],[0.2696327709512742],[0.8088983128538225],[0.0],[1.3481638547563708],[0.0],[1.617796625707645],[0.2696327709512742],[0.0],[0.0],[1.0785310838050968],1
127,Correct,[0.9392340608849136],[2.1915461420647984],[0.6261560405899425],[0.0],[1.5653901014748561],[0.0],[0.9392340608849136],[0.3130780202949712],[1.5653901014748561],[0.6261560405899425],[0.6261560405899425],[0.0],[0.6261560405899425],[0.6261560405899425],[0.6261560405899425],[1.252312081179885],[0.9392340608849136],[0.0],[0.0],[0.3130780202949712],[0.3130780202949712],1
131,Correct,[0.0],[1.8867937878257859],[0.47169844695644647],[0.0],[0.9433968939128929],[0.9433968939128929],[0.47169844695644647],[0.23584922347822324],[0.23584922347822324],[0.0],[0.0],[0.47169844695644647],[0.7075476704346697],[0.0],[0.47169844695644647],[0.0],[0.23584922347822324],[0.0],[0.0],[0.47169844695644647],[0.0],1
135,Correct,[0.0],[1.1655527867201532],[0.0],[0.0],[0.23311055734403063],[0.23311055734403063],[1.6317739014082144],[0.23311055734403063],[0.6993316720320919],[0.0],[0.0],[0.0],[0.23311055734403063],[0.0],[0.0],[0.0],[0.0],[0.0],[0.23311055734403063],[0.0],[0.23311055734403063],1
143,Correct,[0.0],[1.8874299055718733],[0.5392656873062496],[0.0],[0.0],[0.2696328436531248],[0.0],[0.2696328436531248],[0.0],[0.2696328436531248],[0.0],[0.0],[0.8088985309593743],[0.0],[0.5392656873062496],[0.0],[1.6177970619187485],[0.0],[0.0],[1.6177970619187485],[0.2696328436531248],1
159,Incorrect,[0.23771161682409125],[2.3771161682409123],[0.7131348504722738],[0.23771161682409125],[0.7131348504722738],[0.23771161682409125],[1.4262697009445475],[0.23771161682409125],[1.1885580841204562],[0.23771161682409125],[0.23771161682409125],[0.23771161682409125],[0.4754232336481825],[0.950846467296365],[0.7131348504722738],[0.0],[1.6639813177686387],[0.0],[0.23771161682409125],[0.0],[0.0],0
195,Correct,[0.0],[1.3481642182656237],[1.3481642182656237],[0.0],[1.6177970619187485],[0.2696328436531248],[0.5392656873062496],[0.0],[1.6177970619187485],[0.5392656873062496],[0.0],[0.2696328436531248],[1.0785313746124991],[0.2696328436531248],[0.2696328436531248],[0.8088985309593743],[2.965961280184372],[0.2696328436531248],[0.0],[0.0],[0.2696328436531248],1
223,Correct,[0.0],[3.4438927258724235],[0.626162313794986],[0.0],[0.626162313794986],[0.0],[0.626162313794986],[0.626162313794986],[0.939243470692479],[0.0],[0.0],[0.0],[0.313081156897493],[0.0],[0.313081156897493],[0.0],[0.313081156897493],[0.0],[0.0],[0.0],[0.0],1
227,Correct,[0.0],[0.9508392344793282],[0.7131294258594961],[0.0],[3.090227512057816],[0.23770980861983204],[0.4754196172396641],[0.0],[1.4262588517189922],[0.23770980861983204],[0.0],[0.4754196172396641],[0.9508392344793282],[0.0],[0.23770980861983204],[0.0],[1.18854904309916],[0.0],[0.0],[0.0],[0.23770980861983204],1
231,Incorrect,[0.23131934375627639],[1.156596718781382],[0.9252773750251055],[0.0],[1.3879160625376583],[0.23131934375627639],[0.46263868751255277],[0.46263868751255277],[0.6939580312688292],[0.0],[0.0],[0.23131934375627639],[0.9252773750251055],[0.0],[0.0],[0.0],[1.156596718781382],[0.0],[0.23131934375627639],[0.6939580312688292],[0.23131934375627639],0
239,Correct,[0.2696327709512783],[1.8874293966589482],[1.61779662570767],[0.0],[1.3481638547563914],[0.0],[0.5392655419025566],[0.0],[1.61779662570767],[0.808898312853835],[0.2696327709512783],[0.5392655419025566],[0.2696327709512783],[0.2696327709512783],[0.0],[0.2696327709512783],[1.0785310838051132],[0.0],[0.0],[0.2696327709512783],[0.0],1
255,Correct,[0.0],[2.1393882775784885],[0.4754196172396641],[0.23770980861983204],[1.6639686603388242],[0.23770980861983204],[0.9508392344793282],[0.23770980861983204],[1.9016784689586563],[0.0],[0.4754196172396641],[0.23770980861983204],[0.9508392344793282],[0.0],[0.4754196172396641],[0.0],[1.6639686603388242],[0.23770980861983204],[0.0],[0.0],[0.4754196172396641],1
291,Correct,[0.0],[1.0785313746125156],[0.8088985309593867],[0.0],[0.5392656873062578],[0.0],[0.0],[0.2696328436531289],[0.0],[0.2696328436531289],[0.0],[0.5392656873062578],[1.0785313746125156],[0.0],[0.5392656873062578],[0.0],[0.2696328436531289],[0.0],[0.2696328436531289],[1.0785313746125156],[0.0],1
319,Correct,[0.3130781183128401],[2.504624946502721],[0.0],[0.0],[1.2523124732513604],[0.6261562366256802],[0.9392343549385203],[0.0],[1.5653905915642004],[0.3130781183128401],[0.0],[0.3130781183128401],[1.2523124732513604],[0.6261562366256802],[0.6261562366256802],[0.6261562366256802],[5.322328011318281],[0.0],[0.0],[0.3130781183128401],[0.0],1
323,Correct,[0.0],[2.8525177034380613],[0.0],[0.0],[0.0],[0.23770980861983845],[1.4262588517190307],[0.9508392344793538],[0.4754196172396769],[0.23770980861983845],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.23770980861983845],[0.23770980861983845],1
327,Incorrect,[0.0],[1.3879260152158372],[0.6939630076079186],[0.46264200507194575],[2.0818890228237557],[0.23132100253597287],[0.9252840101438915],[0.23132100253597287],[0.46264200507194575],[0.46264200507194575],[0.0],[0.0],[0.23132100253597287],[0.0],[0.6939630076079186],[0.0],[1.3879260152158372],[0.0],[0.0],[0.46264200507194575],[0.46264200507194575],0
335,Incorrect,[0.0],[1.8874293966589193],[0.0],[0.2696327709512742],[0.2696327709512742],[0.0],[0.2696327709512742],[0.0],[1.0785310838050968],[0.0],[0.0],[0.2696327709512742],[0.5392655419025484],[0.0],[0.2696327709512742],[0.0],[1.0785310838050968],[0.0],[0.0],[0.0],[0.8088983128538225],0
351,Correct,[0.0],[1.18854904309916],[1.6639686603388242],[0.0],[0.4754196172396641],[0.23770980861983204],[1.18854904309916],[0.23770980861983204],[2.6148078948181523],[0.23770980861983204],[0.4754196172396641],[0.4754196172396641],[0.23770980861983204],[0.0],[0.0],[0.23770980861983204],[2.6148078948181523],[0.23770980861983204],[0.0],[0.7131294258594961],[0.0],1
387,Correct,[0.0],[0.8088983128538473],[0.0],[0.0],[0.26963277095128246],[0.26963277095128246],[0.8088983128538473],[0.26963277095128246],[0.5392655419025649],[0.26963277095128246],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.26963277095128246],[0.0],[0.0],[0.0],[0.0],1
415,Incorrect,[0.0],[2.1915461420647397],[0.6261560405899257],[0.0],[1.8784681217697772],[0.9392340608848886],[0.31307802029496284],[0.0],[1.8784681217697772],[0.0],[0.0],[0.6261560405899257],[2.5046241623597028],[0.31307802029496284],[0.6261560405899257],[0.31307802029496284],[0.6261560405899257],[0.31307802029496284],[0.0],[0.0],[0.31307802029496284],0
419,Correct,[0.0],[1.4262697009445282],[0.47542323364817607],[0.0],[0.47542323364817607],[0.47542323364817607],[0.23771161682408803],[0.23771161682408803],[0.47542323364817607],[0.47542323364817607],[0.0],[0.47542323364817607],[0.0],[0.0],[0.0],[0.0],[1.4262697009445282],[0.23771161682408803],[0.0],[0.0],[0.23771161682408803],1
423,Correct,[0.918221368480412],[1.6068873948407212],[0.918221368480412],[0.0],[0.229555342120103],[0.688666026360309],[0.0],[0.229555342120103],[0.459110684240206],[0.0],[0.0],[0.0],[0.229555342120103],[0.229555342120103],[0.229555342120103],[0.229555342120103],[2.065998079080927],[0.0],[0.688666026360309],[0.0],[0.459110684240206],1
431,Incorrect,[0.47028972857134144],[0.18811589142853657],[0.28217383714280486],[0.18811589142853657],[0.37623178285707315],[0.0],[0.9405794571426829],[0.09405794571426829],[0.28217383714280486],[0.09405794571426829],[0.09405794571426829],[0.09405794571426829],[0.0],[0.09405794571426829],[0.09405794571426829],[0.18811589142853657],[1.2227532942854877],[0.09405794571426829],[0.18811589142853657],[0.0],[0.0],0
443,Correct,[0.0],[1.426269361903733],[0.23771156031728882],[0.0],[4.278808085711199],[0.23771156031728882],[0.7131346809518665],[0.7131346809518665],[2.1394040428555994],[0.0],[0.0],[0.47542312063457765],[0.9508462412691553],[0.23771156031728882],[0.23771156031728882],[0.0],[1.9016924825383106],[0.0],[0.23771156031728882],[0.0],[0.0],1
479,Incorrect,[0.2696328436531165],[2.157062749224932],[1.3481642182655824],[0.0],[0.2696328436531165],[0.0],[0.2696328436531165],[0.8088985309593495],[0.8088985309593495],[0.0],[0.0],[0.2696328436531165],[0.2696328436531165],[0.0],[0.0],[0.0],[2.4266955928780485],[0.0],[0.0],[0.0],[0.0],0
507,Correct,[0.0],[1.8784687098770405],[0.3130781183128401],[0.0],[1.8784687098770405],[0.6261562366256802],[0.3130781183128401],[0.0],[2.504624946502721],[0.3130781183128401],[0.0],[0.9392343549385203],[1.2523124732513604],[0.0],[0.0],[0.0],[1.2523124732513604],[0.0],[0.0],[0.0],[0.0],1
511,Correct,[0.0],[1.6639686603387793],[0.7131294258594768],[0.7131294258594768],[2.1393882775784303],[0.2377098086198256],[0.4754196172396512],[0.2377098086198256],[1.1885490430991281],[0.2377098086198256],[0.0],[0.2377098086198256],[0.2377098086198256],[0.0],[0.0],[0.0],[0.9508392344793024],[0.2377098086198256],[0.0],[0.2377098086198256],[0.4754196172396512],1
515,Correct,[1.1566050126798035],[0.6939630076078821],[0.9252840101438428],[0.2313210025359607],[2.0818890228236464],[0.2313210025359607],[1.1566050126798035],[0.0],[3.007173032967489],[0.0],[0.2313210025359607],[0.4626420050719214],[0.2313210025359607],[0.4626420050719214],[0.0],[1.3879260152157642],[2.0818890228236464],[0.2313210025359607],[0.9252840101438428],[0.2313210025359607],[0.2313210025359607],1
523,Correct,[0.8089052922898176],[0.8089052922898176],[0.5392701948598784],[0.0],[2.696350974299392],[0.0],[0.5392701948598784],[0.0],[2.9659860717293314],[1.0785403897197567],[0.0],[0.8089052922898176],[0.5392701948598784],[0.0],[0.0],[0.5392701948598784],[1.6178105845796351],[0.2696350974299392],[0.5392701948598784],[0.0],[0.0],1
539,Correct,[1.1885490430991281],[0.9508392344793024],[1.1885490430991281],[0.2377098086198256],[0.7131294258594768],[0.0],[0.2377098086198256],[0.0],[0.4754196172396512],[0.0],[0.0],[0.4754196172396512],[0.4754196172396512],[0.4754196172396512],[0.2377098086198256],[0.2377098086198256],[0.4754196172396512],[0.0],[0.0],[0.2377098086198256],[0.4754196172396512],1
575,Correct,[0.0],[1.0785403897197567],[1.0785403897197567],[0.0],[1.0785403897197567],[0.0],[0.2696350974299392],[0.0],[0.8089052922898176],[0.0],[0.0],[0.5392701948598784],[0.5392701948598784],[0.0],[0.0],[0.0],[0.2696350974299392],[0.0],[0.0],[1.0785403897197567],[0.2696350974299392],1
603,Correct,[0.0],[2.1915468281898804],[0.0],[0.0],[1.5653905915642004],[0.9392343549385203],[0.3130781183128401],[0.9392343549385203],[1.8784687098770405],[0.0],[0.0],[0.0],[0.9392343549385203],[0.0],[0.0],[0.0],[2.504624946502721],[0.0],[0.0],[0.6261562366256802],[0.6261562366256802],1
607,Incorrect,[0.0],[0.9508392344793024],[0.7131294258594768],[0.9508392344793024],[0.4754196172396512],[0.4754196172396512],[0.0],[0.0],[0.9508392344793024],[0.2377098086198256],[0.0],[0.2377098086198256],[0.0],[0.0],[0.0],[0.2377098086198256],[0.7131294258594768],[0.0],[0.2377098086198256],[1.6639686603387793],[0.2377098086198256],0
611,Correct,[0.46264200507194575],[0.9252840101438915],[0.6939630076079186],[0.23132100253597287],[0.6939630076079186],[0.9252840101438915],[0.46264200507194575],[0.23132100253597287],[2.0818890228237557],[0.6939630076079186],[0.23132100253597287],[0.0],[0.23132100253597287],[0.23132100253597287],[0.46264200507194575],[0.0],[1.850568020287783],[0.46264200507194575],[0.6939630076079186],[0.23132100253597287],[0.46264200507194575],1
619,Correct,[0.0],[1.8874456820095744],[0.0],[0.0],[0.5392701948598784],[0.8089052922898176],[0.0],[0.2696350974299392],[1.6178105845796351],[0.2696350974299392],[0.0],[0.0],[0.5392701948598784],[0.0],[0.2696350974299392],[0.0],[0.8089052922898176],[0.0],[0.0],[0.0],[0.5392701948598784],1
635,Correct,[0.0],[2.1393882775784303],[0.7131294258594768],[0.2377098086198256],[2.8525177034379072],[0.9508392344793024],[0.0],[0.2377098086198256],[1.6639686603387793],[0.2377098086198256],[0.0],[0.2377098086198256],[0.7131294258594768],[0.0],[0.4754196172396512],[0.0],[1.1885490430991281],[0.0],[0.0],[0.4754196172396512],[0.2377098086198256],1
671,Correct,[0.0],[1.0785310838050968],[0.0],[0.0],[0.2696327709512742],[0.5392655419025484],[0.0],[0.2696327709512742],[1.0785310838050968],[0.0],[0.0],[0.5392655419025484],[0.0],[0.5392655419025484],[0.2696327709512742],[0.8088983128538225],[0.2696327709512742],[0.0],[0.0],[0.2696327709512742],[0.5392655419025484],1
699,Correct,[0.9392431766330893],[0.9392431766330893],[0.31308105887769644],[0.0],[1.8784863532661786],[0.0],[0.6261621177553929],[0.9392431766330893],[1.2523242355107858],[0.6261621177553929],[0.9392431766330893],[0.0],[0.0],[0.0],[0.0],[0.9392431766330893],[2.817729529899268],[0.31308105887769644],[0.6261621177553929],[0.0],[0.0],1
703,Correct,[0.0],[0.9883342417023444],[0.26954570228245756],[0.0],[0.08984856742748586],[0.08984856742748586],[0.1796971348549717],[0.08984856742748586],[0.4492428371374293],[0.08984856742748586],[0.0],[0.26954570228245756],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.1796971348549717],[0.26954570228245756],[0.0],1
711,Incorrect,[1.617797061918699],[1.8874299055718156],[2.157062749224932],[0.0],[1.3481642182655824],[0.0],[0.0],[0.0],[0.2696328436531165],[0.2696328436531165],[0.0],[0.2696328436531165],[0.0],[0.0],[0.2696328436531165],[0.539265687306233],[1.8874299055718156],[0.0],[0.539265687306233],[0.0],[0.0],0
727,Correct,[0.0],[2.3770980861982562],[0.0],[0.0],[0.0],[0.0],[0.0],[0.4754196172396512],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.2377098086198256],[0.0],[0.0],[0.0],[0.0],[0.4754196172396512],[0.4754196172396512],1
